_ID;housing;marital;campaign;education;poutcome;balance;contact;y;duration;default;day;age;loan;previous;job;month;pdays
102;no;married;2;secondary;unknown;5996;telephone;no;345;no;21;49;no;0;technician;nov;-1
103;yes;single;2;primary;unknown;3777;telephone;no;65;no;13;57;no;0;services;may;-1
104;no;single;1;secondary;unknown;524;unknown;no;9;no;13;34;no;0;management;aug;-1
105;yes;single;2;tertiary;failure;574;cellular;no;259;no;14;32;no;3;management;apr;145
106;yes;married;3;secondary;unknown;427;unknown;no;371;no;9;37;yes;0;blue-collar;jun;-1
107;yes;married;2;tertiary;unknown;483;cellular;no;280;no;3;33;no;0;self-employed;feb;-1
109;yes;married;3;primary;unknown;0;cellular;no;435;no;23;27;no;0;housemaid;jul;-1
111;yes;married;5;tertiary;unknown;1517;telephone;no;7;no;29;58;no;0;management;jul;-1
112;yes;married;5;secondary;unknown;217;cellular;no;317;no;15;32;yes;0;self-employed;jul;-1
113;no;single;2;secondary;failure;22;cellular;no;76;no;30;33;no;1;blue-collar;jan;207
116;yes;married;2;secondary;unknown;1808;cellular;no;83;no;18;30;no;0;services;may;-1
117;no;single;1;secondary;unknown;4111;cellular;no;65;no;19;22;yes;0;admin.;aug;-1
118;no;married;1;primary;unknown;52;cellular;no;69;no;13;39;no;0;blue-collar;aug;-1
119;no;divorced;2;tertiary;unknown;25;unknown;no;564;no;17;46;no;0;management;jun;-1
120;yes;divorced;1;secondary;unknown;1890;cellular;no;588;no;21;31;no;0;admin.;jul;-1
121;no;married;4;primary;unknown;419;cellular;no;113;no;18;45;no;0;blue-collar;aug;-1
122;yes;married;1;secondary;unknown;2693;unknown;no;16;no;21;32;no;0;technician;may;-1
123;no;married;2;secondary;unknown;-231;cellular;no;779;no;15;36;yes;0;blue-collar;jul;-1
124;yes;single;2;tertiary;failure;-55;cellular;no;281;yes;11;51;no;6;management;may;266
126;no;single;1;secondary;unknown;119;unknown;no;51;no;15;24;no;0;unemployed;sep;-1
127;no;single;3;secondary;unknown;586;cellular;no;32;no;28;45;yes;0;technician;jul;-1
128;no;single;1;secondary;failure;228;telephone;no;176;no;5;32;no;3;blue-collar;feb;288
130;yes;married;3;primary;unknown;168;cellular;no;187;no;18;41;no;0;blue-collar;nov;-1
131;yes;married;1;primary;unknown;0;unknown;no;24;no;26;37;no;0;blue-collar;may;-1
132;yes;married;3;unknown;unknown;-715;unknown;no;67;yes;30;43;no;0;blue-collar;may;-1
133;yes;married;1;unknown;failure;0;cellular;no;85;no;8;48;no;2;admin.;may;168
134;yes;single;2;secondary;unknown;769;unknown;no;317;no;9;27;no;0;technician;may;-1
135;no;single;10;tertiary;unknown;0;cellular;no;236;no;28;33;no;0;management;aug;-1
136;yes;single;1;secondary;failure;428;cellular;no;54;no;7;29;yes;2;admin.;may;345
137;no;single;1;tertiary;unknown;0;cellular;no;71;no;5;34;no;0;management;feb;-1
139;no;married;2;unknown;unknown;6313;unknown;no;39;no;19;60;no;0;management;jun;-1
140;no;divorced;2;tertiary;unknown;948;cellular;no;204;no;12;32;no;0;management;aug;-1
141;yes;single;2;tertiary;unknown;0;cellular;no;455;no;22;32;no;0;management;jul;-1
142;yes;divorced;1;unknown;unknown;1877;unknown;no;86;no;30;56;no;0;services;may;-1
143;yes;single;2;tertiary;unknown;874;cellular;no;190;no;18;31;no;0;management;nov;-1
144;yes;married;2;secondary;unknown;323;unknown;no;280;no;8;42;yes;0;admin.;may;-1
145;no;married;2;tertiary;unknown;106;cellular;no;588;no;11;35;yes;0;management;aug;-1
146;no;married;9;primary;unknown;1906;unknown;no;45;no;19;56;yes;0;retired;jun;-1
147;yes;married;5;secondary;unknown;1152;cellular;no;168;no;21;48;no;0;technician;jul;-1
148;yes;married;4;secondary;other;179;cellular;no;194;no;29;46;no;1;admin.;jan;436
149;yes;single;3;unknown;unknown;391;unknown;no;103;no;8;37;no;0;technician;may;-1
150;yes;married;2;unknown;unknown;89;unknown;no;333;no;6;41;no;0;entrepreneur;may;-1
151;yes;single;3;tertiary;unknown;442;cellular;no;102;no;29;36;yes;0;management;jul;-1
152;yes;divorced;1;primary;unknown;-249;unknown;no;92;yes;1;45;yes;0;unemployed;jul;-1
153;no;married;2;secondary;unknown;8104;cellular;no;213;no;6;55;no;0;entrepreneur;feb;-1
154;no;married;1;secondary;unknown;501;unknown;no;289;no;26;39;no;0;technician;may;-1
155;no;divorced;2;secondary;unknown;308;cellular;no;77;no;22;35;no;0;technician;aug;-1
157;yes;married;3;secondary;failure;273;cellular;no;84;no;29;55;no;3;technician;jan;183
158;no;single;1;secondary;unknown;50;cellular;no;168;no;29;27;no;0;self-employed;jan;-1
159;yes;married;1;secondary;unknown;1641;cellular;no;380;no;17;34;no;0;technician;apr;-1
160;no;married;1;tertiary;unknown;20;unknown;no;10;no;4;34;no;0;blue-collar;oct;-1
161;yes;single;2;secondary;unknown;4590;unknown;no;199;no;28;25;no;0;admin.;may;-1
162;no;single;3;secondary;unknown;-256;unknown;no;35;no;9;41;yes;0;admin.;may;-1
163;yes;married;2;secondary;unknown;978;unknown;no;82;no;26;43;yes;0;services;may;-1
165;yes;single;1;secondary;unknown;2104;unknown;no;455;no;3;31;no;0;admin.;jun;-1
166;no;married;4;secondary;unknown;499;telephone;no;80;no;16;78;no;0;housemaid;mar;-1
167;yes;divorced;2;secondary;unknown;1269;cellular;no;549;no;29;45;no;0;blue-collar;jan;-1
168;no;married;1;tertiary;unknown;310;unknown;no;135;no;6;48;no;0;technician;may;-1
169;yes;single;1;secondary;unknown;1143;cellular;no;412;no;10;32;yes;0;blue-collar;jul;-1
170;no;married;3;secondary;unknown;2980;unknown;no;101;no;20;42;no;0;technician;jun;-1
171;no;single;2;tertiary;unknown;37;cellular;no;253;no;28;37;no;0;management;jan;-1
172;yes;single;1;secondary;other;462;cellular;no;272;no;6;40;yes;4;admin.;apr;335
173;yes;married;1;secondary;unknown;1031;cellular;no;84;no;17;32;no;0;admin.;jul;-1
174;no;married;2;tertiary;unknown;9009;cellular;no;135;no;20;42;no;0;management;nov;-1
175;yes;married;1;secondary;unknown;-465;cellular;no;166;no;23;43;yes;0;admin.;jul;-1
176;yes;married;7;secondary;unknown;5181;cellular;no;18;no;31;44;yes;0;admin.;jul;-1
177;yes;married;2;secondary;failure;176;cellular;no;147;no;5;37;no;1;admin.;may;347
178;no;married;1;unknown;unknown;1699;unknown;no;63;no;9;37;no;0;unknown;jun;-1
179;yes;married;2;tertiary;failure;0;cellular;no;65;no;17;37;no;1;admin.;nov;119
180;yes;single;2;tertiary;unknown;172;cellular;no;194;no;2;28;yes;0;technician;feb;-1
181;no;single;2;secondary;unknown;0;cellular;no;333;no;11;32;yes;0;services;jul;-1
182;yes;single;5;secondary;unknown;6979;cellular;no;14;no;15;34;no;0;admin.;may;-1
183;no;divorced;1;secondary;unknown;6;unknown;no;140;no;11;40;no;0;admin.;jun;-1
184;yes;married;3;secondary;unknown;-62;unknown;no;109;no;16;34;no;0;services;jun;-1
185;yes;married;2;tertiary;unknown;1972;cellular;no;61;no;23;34;no;0;self-employed;jul;-1
186;yes;married;3;tertiary;success;899;telephone;no;377;no;19;34;no;4;admin.;nov;7
187;yes;single;1;secondary;other;21;cellular;no;96;no;2;37;no;2;services;feb;271
188;yes;married;2;secondary;failure;23;cellular;no;152;no;8;36;no;1;technician;may;347
190;yes;married;6;primary;unknown;0;telephone;no;97;no;23;49;yes;0;blue-collar;jul;-1
191;yes;married;12;secondary;unknown;215;cellular;no;543;no;29;33;no;0;self-employed;jul;-1
192;no;single;2;tertiary;unknown;1372;cellular;no;240;no;20;30;no;0;management;nov;-1
193;no;married;2;secondary;unknown;1981;unknown;no;48;no;17;36;no;0;services;jun;-1
194;no;single;2;secondary;unknown;9216;cellular;no;471;no;5;23;no;0;student;jun;-1
195;yes;divorced;3;secondary;unknown;39;cellular;no;354;no;30;57;no;0;retired;jul;-1
196;yes;single;2;secondary;unknown;5563;unknown;no;435;no;30;27;no;0;blue-collar;may;-1
197;no;married;2;secondary;unknown;1;cellular;no;152;no;21;38;yes;0;services;nov;-1
198;no;married;1;tertiary;unknown;782;cellular;no;285;no;3;42;no;0;technician;apr;-1
200;yes;single;1;tertiary;success;992;cellular;no;301;no;4;34;no;2;technician;may;88
201;no;married;2;secondary;unknown;1526;cellular;no;273;no;6;48;no;0;technician;aug;-1
203;yes;divorced;4;tertiary;failure;1315;cellular;no;1337;no;19;39;no;1;management;nov;126
205;yes;single;2;tertiary;unknown;0;cellular;no;139;no;18;45;no;0;technician;nov;-1
206;yes;married;1;secondary;unknown;2030;cellular;no;196;no;9;42;yes;0;technician;jul;-1
207;yes;married;1;secondary;failure;1599;cellular;no;115;no;8;29;no;1;technician;jul;61
208;yes;single;1;secondary;failure;-196;cellular;no;60;no;2;38;no;1;services;feb;271
209;no;married;14;secondary;unknown;1333;cellular;no;17;no;28;56;no;0;retired;aug;-1
210;yes;single;3;secondary;unknown;9149;cellular;no;141;no;13;36;no;0;technician;aug;-1
211;yes;single;3;secondary;unknown;-350;unknown;no;95;no;23;25;no;0;blue-collar;jun;-1
212;yes;married;2;tertiary;other;432;cellular;no;10;no;15;38;no;1;technician;may;373
213;no;married;1;secondary;unknown;11494;cellular;no;198;no;19;57;no;0;self-employed;nov;-1
214;no;married;4;tertiary;unknown;-253;cellular;no;220;yes;12;31;no;0;management;aug;-1
216;no;married;2;secondary;unknown;1410;cellular;no;71;no;11;45;no;0;technician;aug;-1
217;yes;married;2;secondary;failure;975;cellular;no;256;no;13;30;no;2;blue-collar;may;351
218;yes;married;10;primary;unknown;305;telephone;no;834;no;10;49;yes;0;blue-collar;jul;-1
219;no;married;3;secondary;unknown;400;cellular;no;151;no;21;49;no;0;services;aug;-1
220;yes;married;3;tertiary;unknown;-22;cellular;no;20;no;31;53;no;0;retired;jul;-1
221;yes;married;5;secondary;unknown;4030;unknown;no;178;no;26;37;no;0;technician;may;-1
222;no;married;2;primary;unknown;365;unknown;no;59;no;26;49;no;0;blue-collar;may;-1
223;no;married;7;primary;unknown;204;cellular;no;111;no;13;41;no;0;self-employed;aug;-1
224;yes;married;1;primary;unknown;1691;cellular;no;186;no;20;54;no;0;management;nov;-1
225;yes;single;1;secondary;unknown;406;unknown;no;227;no;6;32;no;0;services;may;-1
226;no;married;3;secondary;unknown;-204;cellular;no;297;no;15;33;no;0;technician;may;-1
227;yes;married;1;secondary;other;359;cellular;no;210;no;20;33;no;1;technician;apr;242
228;yes;married;1;primary;unknown;123;cellular;no;9;no;18;36;no;0;blue-collar;may;-1
229;yes;married;1;tertiary;other;0;cellular;no;112;no;23;35;yes;6;technician;sep;62
230;no;married;6;secondary;unknown;142;cellular;no;112;no;25;52;no;0;unknown;aug;-1
231;no;married;3;tertiary;unknown;3571;unknown;no;222;no;9;40;no;0;entrepreneur;jun;-1
232;yes;single;3;secondary;failure;33;cellular;no;195;no;13;44;no;10;technician;may;351
233;yes;single;2;secondary;success;0;cellular;no;768;no;26;45;no;5;blue-collar;jul;91
234;no;single;1;secondary;unknown;3096;cellular;no;123;no;26;30;no;0;student;jan;-1
235;no;divorced;3;secondary;unknown;20;cellular;no;145;yes;27;48;no;0;technician;aug;-1
236;yes;married;1;secondary;other;3576;cellular;no;124;no;2;33;no;2;blue-collar;apr;308
237;yes;married;3;unknown;unknown;206;unknown;no;216;no;5;57;no;0;technician;may;-1
238;no;married;3;primary;unknown;7082;unknown;no;69;no;6;57;no;0;housemaid;jun;-1
239;yes;married;4;tertiary;unknown;1634;cellular;no;168;no;22;51;no;0;unemployed;jul;-1
240;yes;single;7;secondary;unknown;1;cellular;no;483;no;22;34;no;0;admin.;jul;-1
241;no;married;3;tertiary;unknown;4012;cellular;no;690;no;19;50;no;0;self-employed;nov;-1
242;no;married;12;tertiary;unknown;3762;cellular;no;125;no;28;44;no;0;management;aug;-1
243;yes;married;2;secondary;unknown;-247;unknown;no;344;no;4;27;yes;0;admin.;jun;-1
244;yes;married;2;secondary;unknown;606;unknown;no;673;no;14;50;no;0;blue-collar;may;-1
245;yes;married;1;tertiary;other;0;cellular;no;60;no;28;36;no;1;management;jan;250
246;yes;married;2;secondary;unknown;-189;unknown;no;247;no;12;42;no;0;management;may;-1
247;no;single;2;secondary;unknown;0;cellular;no;123;no;27;32;no;0;unemployed;may;-1
248;yes;married;2;tertiary;unknown;484;cellular;no;144;no;11;42;no;0;management;jul;-1
249;no;married;2;secondary;failure;0;cellular;no;9;no;8;43;yes;5;technician;may;172
250;yes;married;3;tertiary;unknown;395;cellular;no;155;no;9;31;no;0;management;feb;-1
251;no;married;5;tertiary;unknown;2349;cellular;no;134;no;14;32;no;0;management;aug;-1
252;no;divorced;2;primary;unknown;410;cellular;no;221;no;11;55;yes;0;blue-collar;jul;-1
253;yes;married;3;primary;failure;3401;cellular;no;84;no;3;58;no;2;retired;feb;265
254;no;married;2;primary;unknown;222;cellular;no;71;no;8;46;no;0;blue-collar;aug;-1
255;yes;married;4;secondary;unknown;989;unknown;no;246;no;23;55;yes;0;blue-collar;may;-1
256;no;married;2;tertiary;unknown;415;cellular;no;361;no;23;34;yes;0;management;jul;-1
257;no;single;4;secondary;unknown;16;cellular;no;119;no;12;28;no;0;unemployed;aug;-1
258;yes;divorced;2;tertiary;unknown;7190;cellular;no;375;no;29;42;no;0;technician;jul;-1
260;yes;married;1;secondary;unknown;209;cellular;no;97;no;25;54;yes;0;housemaid;jul;-1
261;no;single;2;secondary;unknown;0;cellular;no;181;no;26;32;no;0;technician;aug;-1
262;no;single;3;tertiary;unknown;5803;cellular;no;83;no;2;39;no;0;technician;feb;-1
263;no;married;4;tertiary;unknown;624;cellular;no;180;no;21;53;yes;0;entrepreneur;jul;-1
264;no;married;1;tertiary;failure;883;cellular;no;543;no;18;58;no;2;technician;aug;78
265;yes;married;1;secondary;unknown;1516;unknown;no;373;no;23;40;yes;0;self-employed;may;-1
266;yes;single;1;secondary;unknown;872;unknown;no;230;no;7;29;no;0;student;may;-1
267;yes;married;3;tertiary;unknown;-988;cellular;no;83;no;15;33;yes;0;technician;jul;-1
268;yes;single;13;secondary;unknown;902;telephone;no;58;no;31;38;no;0;admin.;jul;-1
269;no;divorced;6;secondary;unknown;1007;cellular;no;88;no;29;56;no;0;services;jul;-1
270;yes;married;1;secondary;failure;0;cellular;no;297;no;2;40;no;3;services;jun;28
272;no;married;3;secondary;unknown;12186;unknown;no;29;no;20;46;no;0;management;jun;-1
273;yes;married;4;secondary;unknown;524;cellular;no;484;no;21;35;no;0;self-employed;nov;-1
274;yes;single;4;tertiary;unknown;0;cellular;no;262;no;21;35;no;0;blue-collar;jul;-1
275;yes;married;1;secondary;unknown;4;unknown;no;644;no;15;34;no;0;technician;may;-1
276;no;married;2;tertiary;failure;11219;cellular;no;699;no;12;35;no;1;housemaid;aug;79
277;no;single;2;tertiary;unknown;0;cellular;no;247;no;28;38;no;0;technician;aug;-1
278;no;married;3;primary;unknown;5776;cellular;no;49;no;18;50;no;0;blue-collar;nov;-1
279;yes;divorced;1;primary;unknown;37;cellular;no;341;no;13;51;no;0;blue-collar;may;-1
280;no;married;2;tertiary;unknown;593;unknown;no;64;no;13;59;no;0;self-employed;may;-1
281;yes;married;1;secondary;unknown;1148;cellular;no;121;no;20;32;no;0;blue-collar;apr;-1
282;yes;single;1;secondary;unknown;3561;unknown;no;98;no;2;37;no;0;blue-collar;jun;-1
283;no;divorced;6;secondary;unknown;63;unknown;no;88;no;16;42;no;0;admin.;may;-1
284;no;married;6;secondary;unknown;260;unknown;no;197;no;20;40;no;0;student;jun;-1
285;yes;single;1;tertiary;unknown;2269;unknown;no;331;no;9;28;no;0;technician;may;-1
286;yes;married;3;secondary;unknown;1060;unknown;no;83;no;6;47;no;0;admin.;jun;-1
287;yes;married;2;secondary;unknown;-220;unknown;no;138;no;26;27;no;0;self-employed;may;-1
288;yes;married;5;tertiary;unknown;49;cellular;no;312;no;17;41;no;0;management;jul;-1
291;yes;married;2;secondary;unknown;480;unknown;no;211;no;28;47;no;0;blue-collar;may;-1
292;no;married;6;secondary;unknown;4994;cellular;no;62;no;18;53;no;0;services;aug;-1
293;yes;divorced;5;secondary;unknown;0;cellular;no;135;no;15;53;yes;0;technician;jul;-1
294;no;married;2;tertiary;unknown;3681;cellular;no;101;no;14;47;no;0;management;aug;-1
296;no;married;1;tertiary;unknown;451;cellular;no;451;no;28;29;no;0;management;jan;-1
300;no;divorced;1;primary;unknown;4531;cellular;no;445;no;18;70;no;0;retired;may;-1
301;no;divorced;2;primary;failure;1840;cellular;no;383;no;1;65;no;5;retired;jun;188
302;yes;married;1;secondary;unknown;345;telephone;no;605;no;22;56;no;0;blue-collar;jul;-1
303;yes;married;2;secondary;unknown;1287;cellular;no;330;no;14;35;no;0;blue-collar;jul;-1
304;no;married;2;unknown;unknown;353;cellular;no;171;no;25;56;yes;0;management;jul;-1
305;no;married;2;secondary;unknown;205;cellular;no;442;no;23;56;yes;0;technician;jul;-1
307;yes;married;5;primary;unknown;1147;unknown;no;249;no;8;38;yes;0;unemployed;may;-1
308;yes;married;1;tertiary;unknown;4286;unknown;no;357;no;9;35;no;0;management;may;-1
309;no;married;2;tertiary;unknown;605;cellular;no;147;no;18;38;no;0;admin.;nov;-1
310;yes;married;7;secondary;failure;8545;cellular;no;199;no;6;49;yes;1;blue-collar;may;167
311;no;married;2;unknown;unknown;559;cellular;no;271;no;28;55;no;0;management;jan;-1
312;yes;single;3;primary;unknown;2;cellular;no;783;no;30;43;no;0;blue-collar;jul;-1
313;no;married;2;tertiary;unknown;2;cellular;no;472;no;20;43;yes;0;management;aug;-1
315;yes;married;2;primary;unknown;1317;unknown;no;395;no;21;30;no;0;blue-collar;may;-1
316;no;married;1;secondary;unknown;182;cellular;no;56;no;4;46;no;0;blue-collar;feb;-1
317;no;married;6;primary;unknown;276;unknown;no;641;no;17;50;yes;0;admin.;jun;-1
319;no;single;1;secondary;unknown;1064;unknown;no;113;no;31;26;no;0;unemployed;may;-1
320;no;married;11;unknown;unknown;1783;unknown;no;11;no;20;45;no;0;admin.;jun;-1
321;no;married;1;secondary;unknown;-67;cellular;no;157;no;2;37;no;0;blue-collar;feb;-1
322;no;single;4;tertiary;unknown;179;cellular;no;79;no;29;60;yes;0;self-employed;jul;-1
324;yes;married;1;primary;unknown;214;unknown;no;168;no;9;47;yes;0;blue-collar;jun;-1
325;no;married;1;secondary;failure;6699;cellular;no;425;no;9;33;no;1;technician;nov;462
326;no;married;1;secondary;unknown;1760;cellular;no;162;no;19;51;yes;0;unemployed;nov;-1
329;yes;single;1;secondary;unknown;1150;unknown;no;357;no;28;48;no;0;admin.;may;-1
330;no;married;6;secondary;unknown;121;cellular;no;22;no;22;37;no;0;admin.;jul;-1
331;yes;single;3;tertiary;other;828;cellular;no;215;no;16;29;no;3;technician;apr;321
332;yes;married;4;secondary;unknown;244;cellular;no;56;no;31;34;no;0;admin.;jul;-1
335;no;divorced;1;tertiary;unknown;447;unknown;no;126;no;7;47;yes;0;management;may;-1
336;no;married;1;primary;unknown;-195;unknown;no;9;no;20;33;no;0;blue-collar;sep;-1
337;yes;single;1;tertiary;failure;1410;cellular;no;8;no;5;33;no;5;management;feb;254
338;no;married;1;primary;success;1084;cellular;no;201;no;14;63;no;1;retired;oct;183
339;no;divorced;2;primary;unknown;10924;cellular;no;106;no;6;51;no;0;self-employed;may;-1
340;yes;married;1;tertiary;failure;832;cellular;no;164;no;21;41;yes;1;management;nov;176
341;no;married;1;tertiary;unknown;478;cellular;no;97;no;5;56;no;0;retired;feb;-1
342;no;single;1;tertiary;unknown;0;cellular;no;151;no;23;60;yes;0;management;jul;-1
343;yes;single;2;tertiary;unknown;3950;unknown;no;96;no;30;41;no;0;self-employed;may;-1
