campaign;balance;housing;loan;contact;age;duration;poutcome;job;_ID;day;previous;pdays;marital;education;month;default;y
2;1354;yes;no;unknown;35;736;unknown;self-employed;705;23;0;-1;divorced;tertiary;may;no;yes
1;3463;no;yes;cellular;50;96;unknown;management;732;28;0;-1;married;tertiary;oct;no;yes
1;480;no;no;cellular;36;213;unknown;technician;737;20;0;-1;married;secondary;oct;no;yes
1;1633;no;no;cellular;28;275;unknown;management;741;5;0;-1;single;secondary;jun;no;yes
4;3334;no;no;cellular;55;632;unknown;retired;743;14;0;-1;married;primary;aug;no;yes
1;1167;yes;yes;cellular;48;264;unknown;management;756;1;0;-1;married;tertiary;jun;no;yes
1;908;yes;no;unknown;29;1663;unknown;blue-collar;794;20;0;-1;single;secondary;jun;no;yes
1;703;yes;no;cellular;34;342;unknown;management;809;14;0;-1;married;tertiary;apr;no;yes
1;1429;yes;no;cellular;43;1015;other;management;823;19;2;198;married;tertiary;nov;no;yes
2;1996;no;no;unknown;47;761;unknown;blue-collar;831;5;0;-1;married;secondary;jun;no;yes
3;7066;yes;no;cellular;39;667;other;services;837;15;3;357;single;secondary;may;no;yes
1;976;no;no;cellular;55;345;other;housemaid;849;28;3;94;divorced;primary;jun;no;yes
2;624;no;no;cellular;46;336;success;management;855;17;2;183;divorced;tertiary;sep;no;yes
1;1020;yes;no;unknown;41;882;unknown;admin.;862;19;0;-1;single;secondary;may;no;yes
2;26965;no;no;cellular;31;654;unknown;housemaid;871;21;0;-1;single;primary;apr;no;yes
1;255;no;no;cellular;26;457;success;admin.;880;30;1;80;single;secondary;apr;no;yes
2;65;yes;no;unknown;60;1028;unknown;technician;886;9;0;-1;married;primary;may;no;yes
2;5291;no;no;cellular;27;192;failure;student;892;12;2;92;single;tertiary;nov;no;yes
2;198;no;no;cellular;28;128;unknown;services;905;5;0;-1;single;secondary;jul;no;yes
1;172;no;no;cellular;34;177;unknown;blue-collar;940;15;0;-1;divorced;unknown;jun;no;yes
1;0;yes;no;cellular;34;262;success;management;941;7;2;99;married;tertiary;aug;no;yes
1;1451;no;no;cellular;40;314;unknown;blue-collar;944;1;0;-1;married;secondary;jun;no;yes
3;1066;no;no;cellular;41;109;unknown;technician;945;11;0;-1;married;secondary;feb;no;yes
2;3143;no;no;cellular;33;421;unknown;management;965;29;0;-1;single;tertiary;jun;no;yes
1;1013;yes;no;cellular;58;206;failure;self-employed;970;11;1;461;married;primary;aug;no;yes
3;215;no;no;cellular;34;350;unknown;blue-collar;975;3;0;-1;single;secondary;mar;no;yes
2;388;yes;no;unknown;43;2087;unknown;management;980;8;0;-1;divorced;tertiary;may;no;yes
4;2013;no;no;cellular;59;222;success;self-employed;984;19;2;94;married;tertiary;feb;no;yes
1;3913;yes;no;cellular;37;124;unknown;admin.;991;27;0;-1;married;tertiary;apr;no;yes
4;410;yes;no;unknown;45;891;unknown;technician;1007;30;0;-1;single;secondary;may;no;yes
1;-454;yes;no;cellular;49;558;unknown;blue-collar;1017;14;0;-1;married;secondary;may;no;yes
2;665;yes;no;cellular;53;371;unknown;retired;1019;22;0;-1;married;secondary;apr;no;yes
1;994;yes;no;cellular;42;149;failure;technician;1020;11;5;78;married;secondary;aug;no;yes
1;5346;yes;yes;unknown;45;187;unknown;admin.;1021;21;0;-1;married;secondary;oct;no;yes
2;1044;no;no;telephone;56;353;unknown;retired;1025;3;0;-1;married;secondary;jul;no;yes
1;1613;yes;no;cellular;55;296;failure;blue-collar;1040;3;3;270;divorced;secondary;apr;no;yes
2;1337;no;no;cellular;34;330;success;services;1048;17;3;127;married;secondary;dec;no;yes
2;3904;no;no;telephone;63;250;success;entrepreneur;1056;4;2;187;married;secondary;aug;no;yes
1;1147;no;no;cellular;48;389;success;management;1060;5;2;64;married;tertiary;aug;no;yes
4;1049;yes;no;cellular;36;224;unknown;blue-collar;1070;14;0;-1;married;secondary;may;no;yes
1;2206;no;no;cellular;54;104;other;unknown;1076;12;2;99;married;secondary;nov;no;yes
2;1988;no;no;cellular;38;164;failure;admin.;1077;27;2;130;married;tertiary;mar;no;yes
1;661;yes;no;cellular;33;968;unknown;blue-collar;1085;18;0;-1;married;secondary;jul;no;yes
2;1;no;no;cellular;59;159;failure;technician;1109;15;3;378;married;secondary;apr;no;yes
2;480;no;no;cellular;37;344;other;technician;1111;22;8;182;married;secondary;oct;no;yes
1;189;no;no;cellular;37;238;success;technician;1124;1;2;107;married;unknown;oct;no;yes
1;0;yes;yes;unknown;57;648;unknown;retired;1135;28;0;-1;married;tertiary;may;no;yes
1;366;no;no;cellular;60;593;unknown;management;1142;3;0;-1;divorced;tertiary;jun;no;yes
1;205;no;no;cellular;44;289;unknown;admin.;1151;3;0;-1;married;secondary;nov;no;yes
1;5514;no;no;cellular;32;319;success;technician;1166;22;1;182;single;tertiary;apr;no;yes
1;273;yes;no;unknown;33;803;unknown;management;1168;16;0;-1;married;tertiary;may;no;yes
2;4579;no;no;cellular;28;409;unknown;self-employed;1177;12;0;-1;single;tertiary;jan;no;yes
1;5106;no;no;cellular;37;244;unknown;management;1179;30;0;-1;married;tertiary;apr;no;yes
4;636;yes;no;cellular;31;352;unknown;technician;1180;4;0;-1;married;tertiary;may;no;yes
1;1076;no;no;cellular;34;152;success;services;1181;12;6;182;married;secondary;may;no;yes
1;0;no;no;unknown;54;618;unknown;retired;1190;13;0;-1;divorced;tertiary;may;no;yes
3;6016;no;no;cellular;61;670;unknown;management;1206;2;0;-1;married;tertiary;feb;no;yes
8;490;no;no;cellular;36;207;failure;management;1212;28;1;98;single;tertiary;aug;no;yes
7;1341;no;no;cellular;75;415;unknown;retired;1230;18;0;-1;divorced;secondary;dec;no;yes
4;493;no;no;cellular;60;671;unknown;blue-collar;1249;18;0;-1;married;primary;aug;no;yes
1;895;no;no;cellular;54;335;unknown;unknown;1266;7;0;-1;married;unknown;oct;no;yes
2;158;no;no;unknown;27;650;unknown;technician;1269;1;0;-1;single;secondary;jul;no;yes
9;5037;no;no;cellular;41;252;other;management;1276;23;5;185;divorced;tertiary;apr;no;yes
1;2232;no;no;cellular;46;121;unknown;admin.;1277;13;0;-1;divorced;secondary;feb;no;yes
4;2603;yes;no;cellular;31;280;unknown;management;1287;11;0;-1;married;tertiary;feb;no;yes
5;41;no;no;cellular;32;686;unknown;management;1297;21;0;-1;single;tertiary;aug;no;yes
2;5845;no;no;cellular;59;1060;unknown;retired;1300;14;0;-1;divorced;secondary;may;no;yes
1;1519;no;no;cellular;42;230;success;management;1303;19;1;92;married;unknown;oct;no;yes
1;8304;no;no;telephone;80;712;failure;retired;1312;9;12;64;married;secondary;jun;no;yes
2;1623;yes;no;cellular;49;1081;unknown;management;1319;19;0;-1;married;secondary;nov;no;yes
2;204;yes;no;cellular;45;224;unknown;admin.;1332;3;0;-1;married;secondary;jun;no;yes
2;311;no;no;unknown;32;757;unknown;management;1334;12;0;-1;single;tertiary;may;no;yes
1;710;yes;yes;cellular;27;653;success;admin.;1342;6;2;334;married;secondary;may;no;yes
1;1233;yes;no;unknown;47;91;other;technician;1343;11;2;100;married;secondary;sep;no;yes
1;171;no;no;cellular;28;93;unknown;management;1344;10;0;-1;single;secondary;mar;no;yes
1;425;no;no;telephone;83;883;failure;retired;1349;22;1;140;married;primary;jun;no;yes
1;368;no;no;cellular;46;293;other;admin.;1379;20;4;90;married;secondary;aug;no;yes
2;3234;no;no;cellular;38;578;unknown;technician;1395;18;0;-1;married;tertiary;nov;no;yes
1;0;yes;no;cellular;35;1174;other;blue-collar;1411;16;4;345;single;secondary;apr;no;yes
3;2253;yes;no;cellular;38;937;unknown;services;1418;13;0;-1;single;secondary;may;no;yes
3;495;no;no;cellular;36;157;success;management;1425;5;2;97;married;tertiary;aug;no;yes
5;351;yes;no;unknown;59;1063;unknown;retired;1431;27;0;-1;single;secondary;may;no;yes
3;1574;no;no;telephone;64;301;unknown;retired;1435;29;0;-1;married;secondary;jul;no;yes
1;0;no;no;cellular;77;847;success;retired;1437;16;1;60;married;tertiary;oct;no;yes
1;1238;no;no;unknown;56;1558;unknown;housemaid;1440;5;0;-1;divorced;primary;jun;yes;yes
2;4665;yes;no;unknown;32;860;unknown;technician;1446;21;0;-1;single;tertiary;may;no;yes
2;1224;yes;yes;cellular;31;1441;unknown;management;1449;24;0;-1;married;tertiary;jul;no;yes
6;1893;yes;no;unknown;45;1259;unknown;services;1454;3;0;-1;single;primary;jun;no;yes
1;2987;yes;no;cellular;36;307;unknown;management;1458;12;0;-1;married;tertiary;aug;no;yes
2;1766;no;yes;cellular;31;166;unknown;blue-collar;1464;5;0;-1;married;secondary;jun;no;yes
2;0;no;no;cellular;53;80;unknown;services;1467;12;0;-1;divorced;secondary;mar;no;yes
1;259;no;no;cellular;59;415;success;technician;1469;15;1;89;married;secondary;jun;no;yes
2;113;no;no;cellular;29;328;success;technician;1485;12;4;183;single;secondary;feb;no;yes
1;57;no;no;unknown;46;796;unknown;technician;1501;28;0;-1;married;secondary;may;no;yes
4;225;no;no;cellular;47;1126;unknown;admin.;1504;28;0;-1;divorced;secondary;aug;no;yes
1;936;no;no;cellular;42;931;unknown;admin.;1509;30;0;-1;divorced;secondary;jan;no;yes
1;133;no;no;cellular;33;218;unknown;technician;1532;4;0;-1;married;secondary;may;no;yes
1;2171;yes;yes;telephone;54;1034;unknown;management;1534;18;0;-1;divorced;tertiary;nov;no;yes
4;1562;no;no;cellular;28;659;unknown;student;1557;15;0;-1;single;tertiary;feb;no;yes
2;7702;no;no;cellular;42;138;unknown;management;1574;16;0;-1;divorced;unknown;feb;no;yes
3;151;yes;no;cellular;49;97;unknown;management;1604;8;0;-1;single;tertiary;jul;no;yes
3;1297;no;no;cellular;46;716;unknown;management;1611;11;0;-1;divorced;tertiary;aug;no;yes
1;426;no;no;unknown;39;1029;unknown;self-employed;1638;18;0;-1;single;tertiary;jun;no;yes
3;306;no;no;cellular;53;388;success;blue-collar;1653;28;1;181;married;primary;jul;no;yes
1;-191;yes;no;unknown;52;755;unknown;blue-collar;1663;15;0;-1;divorced;primary;may;no;yes
2;1784;no;no;cellular;47;385;unknown;services;1672;19;0;-1;single;unknown;oct;no;yes
4;0;no;no;cellular;32;594;unknown;technician;1680;18;0;-1;single;secondary;aug;no;yes
3;2442;no;no;cellular;37;91;unknown;technician;1693;16;0;-1;single;secondary;feb;no;yes
1;132;no;no;cellular;43;574;success;admin.;1695;19;3;84;married;secondary;aug;no;yes
1;3283;no;no;cellular;31;258;failure;management;1698;2;1;73;single;tertiary;feb;no;yes
1;5958;yes;no;cellular;35;215;unknown;management;1704;22;0;-1;single;tertiary;mar;no;yes
2;304;no;no;cellular;25;226;unknown;student;1705;26;0;-1;single;secondary;may;no;yes
1;118;yes;no;cellular;32;1275;unknown;blue-collar;1706;17;0;-1;single;secondary;jul;no;yes
2;70;yes;no;cellular;46;229;unknown;admin.;1709;27;0;-1;married;secondary;mar;no;yes
3;4415;yes;no;cellular;48;1032;failure;management;1719;8;7;141;married;secondary;apr;no;yes
3;197;no;no;cellular;34;78;unknown;technician;1727;20;0;-1;married;tertiary;aug;no;yes
1;2398;yes;no;cellular;53;317;failure;admin.;1729;2;2;180;single;secondary;aug;no;yes
1;100;yes;no;cellular;40;221;success;admin.;1736;11;1;461;single;secondary;aug;no;yes
1;889;no;no;telephone;49;388;unknown;housemaid;1739;7;0;-1;married;primary;jul;no;yes
1;197;yes;no;cellular;49;223;failure;admin.;1748;13;2;182;married;secondary;apr;no;yes
2;1445;no;no;cellular;29;328;success;management;1754;26;2;143;single;tertiary;apr;no;yes
3;226;yes;no;unknown;38;762;unknown;technician;1755;30;0;-1;married;secondary;may;no;yes
1;0;yes;no;cellular;35;524;success;technician;1760;9;5;96;married;secondary;nov;no;yes
10;2887;no;no;cellular;57;819;unknown;blue-collar;1763;21;0;-1;married;secondary;aug;no;yes
4;297;yes;no;cellular;51;415;failure;management;1767;15;1;375;single;tertiary;may;no;yes
7;156;no;no;cellular;31;657;unknown;management;1822;13;0;-1;married;tertiary;aug;no;yes
1;3;no;no;cellular;39;488;unknown;technician;1837;6;0;-1;divorced;tertiary;may;yes;yes
1;8295;no;no;cellular;54;207;unknown;management;1844;5;0;-1;married;tertiary;jun;no;yes
4;95;yes;no;cellular;51;1309;unknown;self-employed;1846;23;0;-1;married;secondary;jul;no;yes
1;2646;no;no;cellular;34;142;unknown;management;1854;14;0;-1;single;tertiary;apr;no;yes
1;1230;yes;no;cellular;47;412;success;blue-collar;1862;30;1;169;married;secondary;apr;no;yes
2;247;no;no;cellular;34;401;unknown;admin.;1872;8;0;-1;married;secondary;oct;no;yes
2;-887;yes;no;cellular;26;827;unknown;blue-collar;1876;18;0;-1;single;primary;may;no;yes
2;902;yes;no;cellular;39;691;failure;technician;1886;10;5;180;divorced;secondary;feb;no;yes
2;1205;no;no;telephone;42;376;unknown;management;1889;8;0;-1;married;tertiary;sep;no;yes
1;1361;no;no;cellular;40;1473;unknown;management;1899;29;0;-1;single;tertiary;jan;no;yes
2;0;no;no;cellular;28;294;other;student;1904;28;7;105;single;tertiary;sep;no;yes
2;273;yes;no;cellular;46;910;success;management;1905;18;4;184;married;tertiary;mar;no;yes
2;7195;no;no;cellular;48;609;unknown;housemaid;1913;21;0;-1;married;primary;nov;no;yes
2;-477;no;yes;cellular;30;1532;unknown;services;1914;21;0;-1;single;tertiary;aug;no;yes
1;1026;no;no;cellular;29;226;other;management;1915;12;1;92;single;tertiary;nov;no;yes
1;980;yes;no;cellular;53;352;unknown;unemployed;1917;3;0;-1;married;primary;dec;no;yes
5;4657;no;no;cellular;71;93;unknown;retired;1927;16;0;-1;married;primary;feb;no;yes
1;3472;no;no;cellular;22;332;failure;student;1928;20;3;183;single;primary;oct;no;yes
4;489;yes;no;cellular;27;356;unknown;technician;1934;30;0;-1;single;secondary;jul;no;yes
1;213;no;no;cellular;27;378;unknown;student;1940;27;0;-1;single;secondary;mar;no;yes
2;257;yes;no;cellular;42;955;unknown;services;1946;12;0;-1;divorced;secondary;may;no;yes
6;6046;yes;yes;telephone;41;300;success;admin.;1952;15;2;182;divorced;secondary;mar;no;yes
1;343;no;no;cellular;25;377;unknown;unemployed;1962;1;0;-1;single;tertiary;jun;no;yes
2;7138;no;no;cellular;44;809;unknown;technician;1974;8;0;-1;single;secondary;aug;no;yes
2;66;no;no;cellular;37;1164;unknown;entrepreneur;1991;18;0;-1;divorced;tertiary;nov;no;yes
6;4758;yes;no;cellular;44;712;unknown;management;1994;22;0;-1;married;primary;jul;no;yes
3;4079;no;no;cellular;74;343;unknown;retired;2014;19;0;-1;divorced;secondary;oct;no;yes
2;0;yes;no;cellular;40;228;failure;management;2015;23;6;182;single;tertiary;feb;no;yes
1;925;yes;no;cellular;34;709;unknown;technician;2017;13;0;-1;single;tertiary;apr;no;yes
4;1727;no;no;telephone;59;500;failure;management;2032;25;2;358;married;primary;may;no;yes
5;664;no;yes;cellular;41;955;unknown;blue-collar;2033;15;0;-1;divorced;primary;jul;no;yes
2;1942;yes;yes;cellular;30;436;other;management;2037;21;3;178;married;tertiary;nov;no;yes
1;4198;no;no;cellular;59;309;success;technician;2049;14;10;91;married;primary;jan;no;yes
2;747;yes;no;unknown;31;543;unknown;admin.;2051;26;0;-1;single;secondary;may;no;yes
2;568;yes;no;cellular;48;378;success;technician;2055;2;1;386;married;secondary;sep;no;yes
1;1167;yes;no;cellular;47;968;failure;technician;2068;30;5;87;married;secondary;apr;no;yes
2;697;no;no;cellular;33;860;unknown;blue-collar;2073;6;0;-1;single;secondary;feb;no;yes
2;201;yes;no;cellular;30;325;unknown;management;2077;17;0;-1;single;tertiary;mar;no;yes
3;104;yes;no;cellular;38;606;unknown;management;2089;6;0;-1;single;tertiary;may;no;yes
1;1412;yes;no;unknown;33;480;unknown;management;2114;19;0;-1;married;tertiary;aug;no;yes
2;0;no;no;cellular;62;227;unknown;retired;2120;13;0;-1;divorced;tertiary;nov;no;yes
1;817;no;no;cellular;48;517;success;unemployed;2122;14;4;282;married;secondary;jan;no;yes
1;-306;yes;no;unknown;41;500;unknown;admin.;2129;15;0;-1;married;primary;may;no;yes
5;1265;yes;no;cellular;35;326;failure;housemaid;2131;15;4;179;married;tertiary;may;no;yes
6;3727;no;no;unknown;47;993;unknown;housemaid;2140;12;0;-1;single;tertiary;jun;no;yes
2;4089;yes;no;cellular;37;289;other;management;2143;2;4;174;married;tertiary;feb;no;yes
3;1859;no;no;telephone;62;245;unknown;management;2148;6;0;-1;married;tertiary;aug;no;yes
1;386;no;no;cellular;33;253;failure;services;2159;12;4;92;married;secondary;nov;no;yes
2;1836;yes;no;cellular;40;750;unknown;services;2168;12;0;-1;married;secondary;may;no;yes
1;-46;yes;no;cellular;28;199;success;blue-collar;2176;1;14;92;single;secondary;sep;no;yes
3;104;yes;no;cellular;43;635;unknown;entrepreneur;2182;18;0;-1;married;secondary;jul;no;yes
2;4;yes;no;unknown;23;395;unknown;entrepreneur;2195;13;0;-1;single;primary;may;no;yes
4;199;yes;yes;unknown;29;1689;unknown;management;2202;7;0;-1;married;tertiary;may;no;yes
2;3301;yes;no;cellular;34;485;failure;management;2212;17;4;227;married;tertiary;jun;no;yes
1;822;no;no;cellular;24;184;failure;student;2213;27;2;91;single;secondary;oct;no;yes
1;2776;yes;no;cellular;44;701;unknown;technician;2219;27;0;-1;married;secondary;jan;no;yes
2;139;yes;yes;cellular;33;732;failure;blue-collar;2220;18;5;291;married;secondary;may;no;yes
2;4500;yes;no;cellular;24;733;unknown;services;2233;11;0;-1;married;secondary;may;no;yes
1;238;no;no;cellular;37;185;success;management;2251;3;1;92;married;tertiary;feb;no;yes
1;326;yes;no;cellular;41;788;unknown;management;2259;5;0;-1;married;tertiary;may;no;yes
1;0;yes;no;cellular;35;1073;unknown;admin.;2274;13;0;-1;single;secondary;may;no;yes
2;1905;yes;no;cellular;32;709;unknown;blue-collar;2296;16;0;-1;married;secondary;jul;no;yes
2;54;yes;no;unknown;27;543;unknown;services;2321;28;0;-1;single;secondary;may;no;yes
7;102;yes;no;cellular;30;470;other;management;2332;5;3;426;married;tertiary;apr;no;yes
6;-242;yes;no;cellular;37;1149;unknown;technician;2370;13;0;-1;single;secondary;aug;no;yes
2;3403;yes;no;cellular;43;707;success;services;2372;12;2;97;single;secondary;nov;no;yes
2;622;no;no;cellular;26;1451;unknown;unemployed;2375;28;0;-1;single;secondary;jan;no;yes
1;152;yes;no;unknown;35;563;unknown;services;2376;2;0;-1;married;secondary;jun;no;yes
1;-386;no;yes;cellular;41;477;unknown;blue-collar;2419;20;0;-1;single;secondary;nov;yes;yes
2;5063;no;no;cellular;44;418;unknown;management;2421;27;0;-1;single;tertiary;oct;no;yes
4;1289;no;no;cellular;42;250;failure;unemployed;2431;15;2;415;married;secondary;jul;no;yes
1;796;no;no;cellular;73;427;failure;retired;2433;23;2;182;married;primary;oct;no;yes
2;117;no;no;cellular;51;467;other;technician;2436;24;4;88;married;secondary;aug;no;yes
2;724;yes;no;cellular;35;287;failure;management;2444;14;1;415;married;secondary;jul;no;yes
3;925;no;no;cellular;36;321;success;management;2449;14;4;189;married;tertiary;dec;no;yes
1;1129;yes;no;unknown;23;806;unknown;technician;2464;28;0;-1;single;tertiary;may;no;yes
2;2488;no;no;cellular;22;449;other;student;2471;8;10;38;single;secondary;nov;no;yes
2;732;no;no;cellular;53;759;unknown;unknown;2477;27;0;-1;married;primary;oct;no;yes
2;3636;no;yes;cellular;35;808;unknown;admin.;2480;21;0;-1;divorced;secondary;nov;no;yes
1;558;no;no;cellular;50;464;failure;unknown;2486;9;6;683;married;unknown;jul;no;yes
